titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,url_portada
Las mariposas de Sarajevo,Priscilla Morris,Bélico; Drama; Novela; Realista,,"Una historia conmovedora sobre el amor, la esperanza y el poder del arte en una ciudad sitiada. ¿Es posible seguir viendo belleza cuando todo a nuestro alrededor se desmorona? Sarajevo, primavera de 1992. En una ciudad en la que se empiezan a oír tambores de guerra, Zora cruza cada mañana un puente para seguir con sus clases en la Academia de Bellas Artes y para encerrarse después en su estudio. Allí la espera otro puente, un enorme lienzo en el que ha trabajado los últimos meses mientras la ciudad se vestía de barricadas y los jóvenes, de soldados. Su marido, su madre y su hija están a salvo, en el Reino Unido, y ella cree que las hostilidades no durarán más de un par de semanas. Pero cuando la violencia finalmente llega, se ve atrapada en una ciudad sitiada. Todo lo que ama —los paisajes vespertinos, la alegría de las calles, los colores, las colinas, todo— se transforma, y una tormenta de cenizas negras cubre los tejados mientras Zora y los que, como ella, se han quedado atrás deben hacer frente a un mundo que se desintegra en un intento de no perder la humanidad.",https://ww3.lectulandia.com/book/las-mariposas-de-sarajevo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Priscilla%20Morris/Las%20mariposas%20de%20Sarajevo%20(1)/small.jpg
Los años de bronce,Slobodan Šnajder,Bélico; Drama; Novela,,"Al tiempo una saga familiar y una gran novela de guerra, en la que la historia de la antigua Yugoslavia se inserta en un trasfondo europeo más amplio, esta novela narra el drama de los Volksdeutsche , la minoría alemana del noreste de Croacia que emigró a estas regiones en el siglo XVIII. Estos alemanes, integrados ya en la población local, fueron reclutados por las Waffen SS durante la Segunda Guerra Mundial. Georg Kempf, el protagonista, vive el dramático destino de un soldado alemán «a su pesar» que, tras participar en los horrores de la guerra, acabará desertando. Tras un largo y peligroso camino a casa, encuentra que todo ha cambiado allí y que el resto de su existencia quedará irreparablemente marcado por la guerra. En el centro de la narración se encuentra la trágica historia de amor entre dos personajes encadenados por su historia dividida, la de dos antiguos combatientes de campos opuestos: la partisana croata Vera y Georg, el desertor alemán, que si se hubieran conocido antes se habrían matado entre sí. Cáustica y a la vez cautivadora, esta novela es un punto culminante absoluto de la literatura croata y centroeuropea.",https://ww3.lectulandia.com/book/los-anos-de-bronce/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Slobodan%20najder/Los%20anos%20de%20bronce%20(1)/small.jpg
Tres días de camino,Joseph Boyden,Bélico; Novela,Familia Bird,"1919. Niska, la última curandera de los Oji-Cree que queda por las tierras de Ontario, Canadá, ha hecho un largo viaje para recibir a uno de los dos muchachos de su tribu que se habían alistado en el ejército y que vuelve herido de la guerra en Europa. Pero el que baja del tren no es quien Niska esperaba, sino su único pariente, su sobrino Xavier, que todos daban por muerto. ¿Qué ha sucedido con su mejor amigo Elijah, con el que combatió en los campos de batalla de Francia y Bélgica? ¿Por qué ha llegado Xavier bajo la identidad de otro? Gravemente herido y adicto a la morfina, Xavier deambula entre la vida y la muerte mientras recuerda los años vividos en el campo de batalla con Elijah y cómo su reputación como francotiradores que era el orgullo de su regimiento se convirtió en horror y vergüenza. Niska comprende que su cometido no es sólo llevar a Xavier a casa sino devolverle al mundo de los vivos, cueste lo que cueste. Inspirada en parte en la vida del héroe de la primera guerra mundial Francis Pegahmagabow, Tres días de camino es una gran novela de verdadero aliento épico, en la tradición de las grandes historias de guerra, pero ante todo es una historia cautivante e iluminadora de amistad y esperanza.",https://ww3.lectulandia.com/book/tres-dias-de-camino/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Joseph%20Boyden/Tres%20dias%20de%20camino%20(1)/small.jpg
Homero y su Ilíada,Robin Lane Fox,Bélico; Ensayo; Histórico; Poesía; Relato,,"Un estudio apasionante del más célebre de todos los poemas épicos, de la mano de uno de los principales clasicistas de nuestros tiempos La Ilíada de Homero, el famoso poema épico ambientado en las orillas de una Troya asediada, explora la divina cólera del héroe Aquiles y cómo esta causó infinitos daños a griegos y troyanos. A pesar de haber sido compuesto hace más de 2600 años, las historias sobre pérdida y duelo, amor y venganza, bajo una vigilancia ineludible por parte del caprichoso panteón griego, siguen siendo un tema fascinante que ha trascendido al imaginario común. Sin embargo, grandes interrogantes prevalecen sobre este enigmático poema: ¿dónde, cómo y cuándo se compuso? Combinando la pericia detallada de un historiador con la sensibilidad poética de un verdadero maestro de épica, Lane Fox aborda estas cuestiones con gran erudición basándose en otros poemas heroicos compuestos en diversas partes del mundo y en las pruebas cada vez más numerosas y convincentes proporcionadas por la arqueología. En este homenaje soberbiamente escrito tras cincuenta años de lectura e investigación, Lane Fox nos ofrece un magnífico recorrido por la Ilíada , revelando porqué el poema ha perdurado durante siglos y miles de lectores aún acuden a él año tras año.",https://ww3.lectulandia.com/book/homero-y-su-iliada/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Robin%20Lane%20Fox/Homero%20y%20su%20Iliada%20(4)/small.jpg
Los lobos de invierno,Dan Jones,Aventuras; Bélico; Histórico; Novela,Los perros de Essex,"1347. Para la banda de hermanos que forman los Perros, la guerra de los Cien Años no ha hecho más que empezar. Mientras asedian Calais, la guerra se ceba en los hombres con toda su brutalidad. Por si fuera poco, los poderosos parecen querer que esta guerra sea muy larga… Arrojados al torbellino de la batalla, los Perros tienen muchas preguntas. ¿Por qué luchan realmente? ¿Y por qué le importa tanto al rey esta pequeña ciudad?",https://ww3.lectulandia.com/book/los-lobos-de-invierno/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Dan%20Jones/Los%20lobos%20de%20invierno%20(2)/small.jpg
Ejecución,Sven Hassel,Aventuras; Bélico; Novela,Biblioteca Sven Hassel,"El Legionario gira el cañón de la metralleta. Las pistas de humo devoran las barrigas de los oficiales. Se tumban bruscamente en la nieve, que se tiñe de púrpura. Desde el bosque se escucha gritos bestiales al avanzar una ola de soldados vestidos con pieles. Se encuentran en el frente ruso-finlandes. Las metralletas regañan hasta vaciarse los cargadores. El pelotón del Viejo, con el gigante Hermanito y Porta en los papeles principales, lucha salvajemente detrás de la lineas rusas. Sven Hassel fue mandado a un batallón de castigo como soldado raso en el ejercito alemán. Con un realismo cercano y brutal narra las atrocidades de la guerra, los crímenes de los nazis y el humor cínico y tosco de los soldados. Con unas ventas superiores a los 50 millones de ejemplares son los libros de guerra más vendidos en el mundo.",https://ww3.lectulandia.com/book/ejecucion/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Sven%20Hassel/Ejecucion%20(6)/small.jpg
El motín del Caine,Herman Wouk,Aventuras; Bélico; Histórico; Novela; Psicológico,,"Novela escrita por Herman Wouk y publicada en 1951. La novela ganó el premio Pulitzer en el año 1952. «El motín del Caine» se basó en la experiencia del autor a bordo de un barco de guerra en el Pacífico durante la Segunda Guerra Mundial. La novela se centra en Willie Keith, un neoyorquino adinerado asignado al barco llamado «Caine». Este joven va madurando gradualmente a lo largo del libro. Pero esta obra, es mayormente conocida por el retrato que hace del neurótico Capitán Queeg, quien se vuelve obsesionado con infracciones y situaciones mínimas, descuidando el verdadero bienestar y seguridad de su tripulación. El intelectual, y a veces cínico teniente, Tom Keefer convence al leal teniente Steve Maryk de la necesidad de sacar a Queeg de su puesto para poder preservar la supervivencia en el barco.",https://ww3.lectulandia.com/book/el-motin-del-caine/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Herman%20Wouk/El%20motin%20del%20Caine%20(4)/small.jpg
La erupción del Erebus,Payne Harrison,Bélico; Novela,,"Una expedición conjunta de científicos rusos y norteamericanos investiga en la Antártida la composición geológica de este continente. En el curso de su trabajo, los investigadores descubren un importantísimo yacimiento de rubidio, esencial para el greser , un arma con la efectividad de un ingenio nuclear pero sin el inconveniente de la lluvia radiactiva. Para hacerse con las reservas de rubidio, rusos y norteamericanos se enfrentan en un conflicto bélico en el inhóspito continente de hielo, con un despliegue sin precedentes de fuerzas aéreas y navales que utilizan las más sofisticadas armas secretas. El desequilibrio sísmico provocado en la zona del yacimiento por la actividad militar pone en erupción el volcán Erebus, lo que da un giro inesperado a los acontecimientos.",https://ww3.lectulandia.com/book/la-erupcion-del-erebus/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Payne%20Harrison/La%20erupcion%20del%20Erebus%20(2)/small.jpg
El Don apacible (Tr. José Laín Entralgo),Mijaíl Shólojov,Bélico; Drama; Histórico; Novela,,"El Don apacible fue escrita en cuatro partes entre 1928 y 1940 y por la que se le otorgó en 1941 el premio Stalin y el premio Nobel de Literatura en 1965. Esta monumental novela épica relata la intervención rusa en la Primera Guerra Mundial, la Revolución bolchevique, y la Guerra Civil Rusa (1918-1921), desde el punto de vista de los cosacos del río Don, en un posición ambivalente entre las ansias de paz y de mejora de las condiciones de vida que hace a algunos apoyar a los comunistas, y una mayoría opuestos a la colectivización de sus tierras y productos, contraria a sus costumbres y tradiciones. Pero es también un novela de personajes y de costumbres, una novela histórica y que retrata lo cotidiano. Comparada con Guerra y paz, nunca antes una novela había sido capaz de fluir tan magistralmente por personajes, ideas, costumbres, sentimientos, como lo hace Sholojov con la grandeza del amor y la desesperación de la guerra. Fue llevada dos veces al cine. En 1930 bajo la dirección de Ivan Pravov, Olga Preobrazhenskaya, Mikhail Provor, y en 1957 por Sergei Gerasimov..",https://ww3.lectulandia.com/book/el-don-apacible-tr-jose-lain-entralgo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Mijail%20Sholojov/El%20Don%20apacible%20Tr%20Jose%20Lain%20Entralgo%20(3)/small.jpg
La isla de la mujer dormida,Arturo Pérez-Reverte,Aventuras; Bélico; Histórico; Novela,,"Una novela de mar, amor y aventuras en el Egeo durante los años de la Guerra Civil española. Abril de 1937 . Mientras en España transcurre la guerra civil, el marino mercante Miguel Jordán Kyriazis es enviado por el bando sublevado para atacar de modo clandestino el tráfico naval que desde la Unión Soviética transporta ayuda militar para la República. En la base de operaciones, una pequeña isla del mar Egeo, la vida del corsario español se cruzará en turbio triángulo con la de los propietarios, el barón Katelios y su esposa: una seductora mujer madura que busca, con fría desesperación, el modo de escapar a su destino. ---------------------------- La crítica ha dicho: «Me gusta Pérez-Reverte, me recuerda a Dumas y Salgari». Umberto Eco «El novelista más perfecto de la literatura española de nuestro tiempo». El País «Pérez-Reverte sabe cómo retener al lector a cada vuelta de página». The New York Times Book Review «Arturo Pérez-Reverte elabora sus novelas como un viejo barman español refinado y elegante que se emborrachase de vez en cuando con Corto Maltés». Minute «Pérez-Reverte ha inventado novelas y géneros que no existían en España». Alexis Grohmann «La etapa creativa que está atravesando Arturo Pérez-Reverte resulta asombrosa». Sergio Vila-Sanjuán, La Vanguardia",https://ww3.lectulandia.com/book/la-isla-de-la-mujer-dormida/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Arturo%20PerezReverte/La%20isla%20de%20la%20mujer%20dormida%20(30)/small.jpg
El asesino de Sharpe,Bernard Cornwell,Aventuras; Bélico; Histórico; Novela,Richard Sharpe,"Si hay un hombre que puede hacer lo imposible, ése es Richard Sharpe... El teniente coronel Sharpe es un hombre con reputación. Nacido en una alcantarilla, criado en un hospicio, se unió muy joven al ejército, y ése ha sido su hogar desde entonces. Es sólo un hombre, casi una bala perdida, pero sus tan poco convencionales métodos lo convierten en una pieza muy valiosa. Aún se está asentando el polvo causado durante la batalla de Waterloo, pero el duque de Wellington, plenamente consciente de que el fin de una guerra es sólo el comienzo de otra, se prepara ya para una nueva amenaza. Puede que el ejército de Napoleón haya sido derrotado, pero un nuevo enemigo ya los acecha entre las sombras: un grupo secreto de fanáticos revolucionarios empeñados en vengar a su emperador. Y a Wellington sólo se le ocurre recurrir a Sharpe… En esta ocasión, el campo de batalla será completamente diferente: el laberinto de calles que componen la ciudad de París, donde las líneas entre amigos y enemigos se difuminan con facilidad. En esa encrucijada, y en su búsqueda del espía del que depende todo, Sharpe tendrá que derrotar a un asesino letal decidido a matar a su objetivo o morir en el intento...",https://ww3.lectulandia.com/book/el-asesino-de-sharpe/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Bernard%20Cornwell/El%20asesino%20de%20Sharpe%20(63)/small.jpg
Ilíada (trad. Óscar Martínez),Homero,Bélico; Drama; Otros; Poesía,,"La Ilíada es una obra fundamental en la historia de la cultura occidental no sólo por su antigüedad, sino sobre todo por su continuada pervivencia en todas sus manifestaciones hasta la actualidad. El origen de la fascinación que ha ejercido esta obra de Homero sobre los lectores de todas las épocas proviene, por un lado, de su inigualable aliento épico y de sus personajes: en el colérico Aquiles, en su antagonista Héctor, en Ayante, Agamenón o Andrómaca, muchos de ellos retomados por los trágicos griegos, vibra una cuerda que los identifica con todos los hombres. Pero es sin duda su final, que redime en su humanidad el torrente de furia sanguinaria y el hervidero de emociones, tanto de hombres como de dioses, que fluyen a lo largo de ella, lo que la convierte en una cima excepcional. La presente versión en prosa, primera del poema al castellano en el siglo XXI, ofrece una versión límpida y rigurosa destinada a ser referencia para el lector actual. Traducción y prólogo de Óscar Martínez García",https://ww3.lectulandia.com/book/iliada-trad-oscar-martinez/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Homero/Iliada%20trad%20Oscar%20Martinez%20(13)/small.jpg
El Don apacible – Vol I [Tr. José Laín Entralgo],Mijaíl Shólojov,Bélico; Drama; Histórico; Novela; Romántico,,"El Don apacible fue escrita en cuatro partes entre 1928 y 1940 y por la que se le otorgó en 1941 el premio Stalin y el premio Nobel de Literatura en 1965. Esta monumental novela épica relata la intervención rusa en la Primera Guerra Mundial, la Revolución bolchevique, y la Guerra Civil Rusa (1918-1921), desde el punto de vista de los cosacos del río Don, en un posición ambivalente entre las ansias de paz y de mejora de las condiciones de vida que hace a algunos apoyar a los comunistas, y una mayoría opuestos a la colectivización de sus tierras y productos, contraria a sus costumbres y tradiciones. Pero es también un novela de personajes y de costumbres, una novela histórica y que retrata lo cotidiano. Comparada con Guerra y paz, nunca antes una novela había sido capaz de fluir tan magistralmente por personajes, ideas, costumbres, sentimientos, como lo hace Sholojov con la grandeza del amor y la desesperación de la guerra.",https://ww3.lectulandia.com/book/el-don-apacible-vol-i-tr-jose-lain-entralgo/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Mijail%20Sholojov/El%20Don%20apacible%20(2)/small.jpg
Estación Damasco,David McCloskey,Bélico; Intriga; Novela,Damascus Station,"Siria arde en llamas. Asediado por las protestas populares en las calles, el sanguinario dictador Bachar el Asad responde con una violencia cada vez mayor, que incluye, se sospecha, el uso de armas químicas. La CIA manda a su agente Sam Joseph a París con la misión de reclutar a la funcionaria Mariam Haddad, una siria que forma parte del círculo íntimo del dictador. Pronto, Sam y Mariam se encuentran en Damasco para dar con el responsable de la desaparición de un espía estadounidense, compartiendo mucho más que información privilegiada y poniendo en peligro la misión y sus vidas.",https://ww3.lectulandia.com/book/estacion-damasco/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/David%20McCloskey/Estacion%20Damasco%20(1)/small.jpg
"Buenas noches, Irene",Luis Alberto Urrea,Bélico; Drama; Novela,,"En 1943, Irene Woodward huye de Nueva York y de su mezquino prometido para alistarse en la Cruz Roja y poner rumbo a Europa. Durante su formación, entabla amistad con Dorothy Dunford, una mujer del Medio Oeste poseedora de un apabullante ingenio. Ambas forman parte de las Donut Dollies, un selecto grupo de mujeres que viajan en vehículos militares conocidos como Clubmobiles con el propósito de ofrecer camaradería, diversión y sabor hogareño a los combatientes en el frente, y es de este modo como ambas amigas se unen a los soldados aliados que se dirigen a Francia. Durante su estancia en Europa se verán envueltas en toda suerte de peligros, desde la batalla de las Ardenas hasta la liberación de Buchenwald. Gracias a Dorothy y a Hans, un aguerrido piloto de caza estadounidense, Irene aprende a confiar de nuevo en el ser humano. Pero la esperanza de que los tres sobrevivan a la guerra se va volviendo más débil conforme pasan los días. Tomando como inspiración la experiencia de su propia madre en la Cruz Roja, Luis Alberto Urrea rescata del olvido una historia de heroísmo femenino durante la Segunda Guerra Mundial. Con su emotivo y conmovedor retrato de la amistad y del valor en circunstancias angustiosas, Buenas noches, Irene vuelve a poner de manifiesto «las prodigiosas dotes narrativas de Urrea» ( NPR ).",https://ww3.lectulandia.com/book/buenas-noches-irene/,belico,2026-09-01,https://assets.lectulandia.com/b/ab/Luis%20Alberto%20Urrea/Buenas%20noches%20Irene%20(1)/small.jpg
